Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian
Westerman Dam,,,NC06759,,NC06759,John E Westerman,Private,Private,,No,,,Other,Other,North Carolina,PITT-017,35.612,-77.5029,North Carolina,Pitt,,,,"North Carolina, Congressional District 01",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,,,High,,,No,,https://damsafety.org/north-carolina,,,No,
Sturtevant Dam,,,NC04343,,NC04343,"Rusty Shovel Development, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,TRANS-047,35.1246,-82.7943,North Carolina,Transylvania,Brevard,12,Fork French Broad River,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,21,21,Less than 25 feet,386,,,Undetermined,,20,20,18,2.5,,,,,,,,,,,2023-09-25,2023-03-15,,Significant,Unsatisfactory,,Yes,2015-10-21,https://damsafety.org/north-carolina,,,No,
Hilton Pond Dam,,,NC04391,,NC04391,"TLD Investments, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,UNION-048,35.0379,-80.6524,North Carolina,Union,,,Twelvemile Creek,"North Carolina, Congressional District 08",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,14,16,16,Less than 25 feet,410,,,Undetermined,,42,42,37,6.8,102,0,,,,,,,,,2023-09-25,2023-03-28,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Lake Toxaway Lower Dam,,,NC00167,,NC00167,"Lake Toxaway Community Association, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,TRANS-024,35.12448,-82.93287,North Carolina,Transylvania,"Seneca, SC",30.3,Toxaway River,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,48,60,60,51-100 feet,700,,1961,1960-1969,,21500,21500,15680,553,4971,0,,,,,,,,,2023-09-25,2022-11-29,,High,Poor,,Yes,2019-06-28,https://damsafety.org/north-carolina,,,No,
Kaymoore Dam,,,NC06118,,NC06118,"Kaymoore Homeowners Association, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,FORSY-222,36.0126,-80.2776,North Carolina,Forsyth,,,UT to Muddy Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,10,12,12,Less than 25 feet,247,,,Undetermined,,9,9,7,1.9,20,0,,,,,,,,,2023-12-01,2021-09-17,,High,Fair,,Yes,2022-01-01,https://damsafety.org/north-carolina,,,No,
Wayne Horne Dam,,,NC05234,,NC05234,Wayne A Horne,Private,Private,0,No,,,Recreation,Recreation,North Carolina,POLK-035,35.2358,-82.0629,North Carolina,Polk,,,,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,20,25,25,25-50 feet,475,,1993,1990-1999,,20,20,0,2,120,,,,,,,,,,2023-09-25,2023-03-16,,Low,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Sutton Dam,,,NC05210,,NC05210,"Sutton Springs Community Association, Inc.",Private,Private,0,No,,,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",North Carolina,WAKE-321,35.6625,-78.5981,North Carolina,Wake,,,Mahles Creek-Tr,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,17,17,Less than 25 feet,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,2023-02-01,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Hillcrest Lake Dam,,,NC05313,,NC05313,Hillcrest Commons Homeowners Association,Private,Private,0,No,,,Recreation,Recreation,North Carolina,LENOI-014,35.27656,-77.63458,North Carolina,Lenoir,,0,UT to Neuse River,"North Carolina, Congressional District 03",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,10,13,13,Less than 25 feet,3333,,,Undetermined,,62,62,48,12,,,,,,,,,,,2023-09-25,2023-02-09,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Lake Tabor Dam,,,NC01196,,NC01196,Town of Tabor City,Local Government,Local Government,0,No,,,Recreation,Recreation,North Carolina,COLUM-005,34.1594,-78.8586,North Carolina,Columbus,,,Grissett Swamp,"North Carolina, Congressional District 07",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,15,15,Less than 25 feet,0,,1999,1990-1999,,1700,1700,590,172,6578,,,,,,,,,,2023-09-25,2023-03-23,,High,Satisfactory,,Yes,2023-05-01,https://damsafety.org/north-carolina,,,No,
Bengston Lake Dam #1,,,NC00714,,NC00714,Dr. Robert G Martin,Private,Private,0,No,,,Irrigation,Irrigation,North Carolina,MOORE-077,35.241,-79.636,North Carolina,Moore,Jackson Springs,1,Jackson Creek-Os,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,26,30,30,25-50 feet,510,,1965,1960-1969,,112,112,94,7,138,165,,,,,,,,,2023-09-25,2022-03-03,,Low,Fair,,Not Required,,https://damsafety.org/north-carolina,,,No,
Linda Lake Dam,,,NC03403,,NC03403,Donald W Sheriff,Private,Private,0,No,,,Recreation,Recreation,North Carolina,MECKL-032,35.24472,-80.72889,North Carolina,Mecklenburg,,,Reedy Creek,"North Carolina, Congressional District 12",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,23,23,Less than 25 feet,350,,,Undetermined,,45,45,,4.82,64,0,,,,,,,,,2023-09-25,2023-03-08,,High,Fair,,Yes,2023-03-01,https://damsafety.org/north-carolina,,,No,
Frank Liske Park Dam,Jackson Training School Lake Dam,,NC06451,,NC06451,Cabarrus County,State,State,,No,,,Recreation,Recreation,North Carolina,CABAR-007,35.3647,-80.6207,North Carolina,Cabarrus,,,Wolf Meadow Branch,"North Carolina, Congressional District 12",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,,16,18,18,Less than 25 feet,420,,1950,1950-1959,,58,58,48,8.6,37,7,,,,,,,,,2023-09-25,2023-07-07,,High,Satisfactory,,Yes,2023-06-01,https://damsafety.org/north-carolina,,,No,
Yellow Jacket Lake Dam,,,NC01473,,NC01473,Eldredge Blackburn,Private,Private,,No,,,Recreation,Recreation,North Carolina,WILKE-011,36.094,-81.195,North Carolina,Wilkes,Wilkesboro,2,Moravian Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,22,26,26,25-50 feet,150,,,Undetermined,,23,23,19,2,20,100,,,,,,,,,2023-09-25,2019-12-31,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Devonwood Lower Dam,Fleetwood Lakes Dam,,NC04797,,NC04797,City of Fayetteville,Local Government,Local Government,,No,,,Recreation,Recreation,North Carolina,CUMBE-088,35.0748,-78.9948,North Carolina,Cumberland,,,Persimmon Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,20,25,25,25-50 feet,250,,,Undetermined,2002,175,175,70,7,,,,,0,0,0,,,,2023-09-25,2023-03-07,2,High,Poor,2023-03-07,Yes,2022-11-01,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
Roxboro East Ash Basin Dam,,,NC05973,,NC05973,Duke Energy Corporation,Public Utility,Public Utility,,No,,,Other,Other;Debris Control,North Carolina,PERSO-033,36.4806,-79.067,North Carolina,Person,,,,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth;Other,,,,,70,70,51-100 feet,1330,,1964,1960-1969,,3468,3468,3256,122,200,,,,,,,,,,2023-09-25,2023-04-19,,High,Satisfactory,,Yes,2021-07-15,https://damsafety.org/north-carolina,,,No,
Christenbury Corners Swm Pond Dam,,,NC05876,,NC05876,QuikTrip Corporation,Private,Private,0,No,,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,CABAR-084,35.3795,-80.7285,North Carolina,Cabarrus,,,Clarke Creek,"North Carolina, Congressional District 12",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,5,11,11,Less than 25 feet,565,,2010,Since 2000,,18,18,0,2.6,45,0,,,,,,,,,2023-09-25,2022-01-05,,High,Fair,,Yes,2010-04-17,https://damsafety.org/north-carolina,,,No,
Legacy Golf Links Dam No. 2,,,NC03537,,NC03537,Lee Shaw,Private,Private,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,MOORE-025,35.088,-79.421,North Carolina,Moore,Wagram,15,Quewhiffle Creek-Tr,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,31,35,35,25-50 feet,820,,,Undetermined,,210,210,186,15,338,,,,,,,,,,2023-09-25,2022-02-02,,Low,Fair,,Not Required,,https://damsafety.org/north-carolina,,,No,
Stackhouse Dam Upper,,,NC05618,,NC05618,"Siler Madison Properties, LLC",Private,Private,0,No,,,Fish and Wildlife Pond,Fish and Wildlife Pond;Recreation,North Carolina,MADIS-014,35.87583,-82.75598,North Carolina,Madison,,,King Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,38,38,25-50 feet,99999,,,Undetermined,,26,26,,99999,,,,,,,,,,,2023-09-25,2023-03-21,,High,Poor,,No,,https://damsafety.org/north-carolina,,,No,
Chicken Springs Dam,Williford Dam,,NC06145,,NC06145,James C Williford,Private,Private,0,No,,,Recreation,Recreation,North Carolina,ROWAN-074,35.6885,-80.4464,North Carolina,Rowan,,,,"North Carolina, Congressional District 08",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,2,19,19,Less than 25 feet,0,,,Undetermined,,9,9,8,2.5,70,0,,,,,,,,,2023-09-25,2021-12-09,,High,Unsatisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Town of Sylva Water Supply Dam,,,NC06111,,NC06111,Town of Sylva,Local Government,Local Government,0,No,,,Water Supply,Water Supply,North Carolina,JACKS-069,35.4087,-83.1992,North Carolina,Jackson,Sylva,1.7,Dills Branch,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,26,29,29,25-50 feet,560,,1973,1970-1979,,17,17,0,1.5,0,,,,,,,,,,2023-09-25,2023-04-12,,High,Poor,,Yes,2023-04-01,https://damsafety.org/north-carolina,,,No,
Brushy Creek Dam #8,Unimin School House Dam,,NC01852,,NC01852,"Sibelco North America, Inc.",Private,Private,0,No,,,Other,Other,North Carolina,AVERY-009,35.93918,-81.99555,North Carolina,Avery,Spruce Pine,5,UT to North Toe River,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Other,Other,,,,25,28,28,25-50 feet,1717,,1965,1960-1969,,150,150,150,10,30,,,,,,,,,,2023-09-25,2022-03-25,,High,Satisfactory,,Yes,2023-07-01,https://damsafety.org/north-carolina,,,No,
University Lake Dam,,,NC00782,,NC00782,Orange Water and Sewer Authority,Local Government,Local Government,0,No,,,Water Supply,Water Supply,North Carolina,ORANG-014,35.8966,-79.0922,North Carolina,Orange,Carrboro,1,Morgan Creek,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth;Concrete;Gravity,,,,31,39,39,25-50 feet,835,,1932,1930-1939,,4836,4836,4030,213,19070,,,,,,,,,,2023-09-25,2022-07-14,,High,Fair,,Yes,2015-02-01,https://damsafety.org/north-carolina,,,No,
Horton Lake Dam #1,,,NC00663,,NC00663,Elbert Horton,Private,Private,0,No,,,Recreation,Recreation,North Carolina,PERSO-009,36.30528,-78.89167,North Carolina,Person,Red Mountain,6,Deep River-Tr,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,26,30,30,25-50 feet,700,,1970,1970-1979,,58,58,48,7,47,249,,,,,,,,,2023-09-25,2021-03-02,,Low,Fair,,Not Required,,https://damsafety.org/north-carolina,,,No,
Hobbs Lake Dam,,,NC00684,,NC00684,Frogs Leap Homeowners Association Inc.,Private,Private,0,No,,,Recreation,Recreation,North Carolina,GUILF-025,36.211,-79.944,North Carolina,Guilford,Altamahaw,30,Haw River-TR,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,19,24,24,Less than 25 feet,450,,1960,1960-1969,2002,69,69,46,7.4,152,237,,,,,,,,,2023-09-25,2022-03-08,,High,Fair,,Yes,2015-03-13,https://damsafety.org/north-carolina,,,No,
Bessemer City Water Treatment Reservoir Dam,,,NC02634,,NC02634,Town of Bessemer City,Local Government,Local Government,0,No,,,Water Supply,Water Supply,North Carolina,GASTO-071,35.28887,-81.29705,North Carolina,Gaston,,,Long Creek,"North Carolina, Congressional District 10",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,16,20,20,Less than 25 feet,550,,,Undetermined,,14,14,,1,,,,,,,,,,,2023-09-25,2022-01-05,,High,Fair,,Yes,2016-06-09,https://damsafety.org/north-carolina,,,No,
Salem Lake Dam,,,NC00327,,NC00327,City of Winston-Salem,Local Government,Local Government,0,No,,,Recreation,Recreation;Water Supply,North Carolina,FORSY-066,36.0959,-80.1915,North Carolina,Forsyth,Winston-Salem,2,Salem Creek,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,24,37,37,25-50 feet,200,,2012,Since 2000,2012,9230,9230,3206,297.5,16724,35112,,,,,,,,,2023-09-25,2021-02-25,,High,Fair,,Yes,2023-04-01,https://damsafety.org/north-carolina,,,No,
Wells Lake Dam Lower,,,NC02106,,NC02106,"Wells Lake Estates POA, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,CHERO-021,35.00633,-84.10044,North Carolina,Cherokee,,,Gold Branch,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,24,30,30,25-50 feet,310,,,Undetermined,,600,600,275,50,,340,,,,,,,,,2023-09-25,2023-02-21,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Hollaman Lake Dam,Hollabrook Farm Pond Dam,,NC01386,,NC01386,"Grant Investment Group, LLC",Private,Private,0,No,,,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",North Carolina,HENDE-025,35.40245,-82.54497,North Carolina,Henderson,Asheville,15,UT to French Broad River,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,27,32,32,25-50 feet,400,,,Undetermined,,60,60,35,5,77,300,,,,,,,,,2023-09-25,2022-07-20,,Low,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Baker Dam,,,NC06962,,NC06962,Adele C Baker,Private,Private,,No,,,Other,Other,North Carolina,MOORE-237,35.1619,-79.3544,North Carolina,Moore,,,,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,,,High,,,No,,https://damsafety.org/north-carolina,,,No,
Hamilton Pond Dam,,,NC06196,,NC06196,Tina Hamilton,Private,Private,,No,,,Irrigation,Irrigation;Recreation,North Carolina,JOHNS-102,35.4913,-78.5446,North Carolina,Johnston,,,Pole Branch,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,,0,Undetermined,,,1940,1940-1949,,0,,,,,,,,,,,,,,2023-09-25,2023-03-16,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Siniard Upper Pond Dam,,,NC04350,,NC04350,Maria A Whitehead,Private,Private,,No,,,Recreation,Recreation,North Carolina,TRANS-062,35.259,-82.743,North Carolina,Transylvania,Brevard,1,Long Branch,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,20,20,Less than 25 feet,169,,,Undetermined,,10,10,8,1.2,,,,,,,,,,,2023-09-25,2023-01-10,,High,Poor,,No,,https://damsafety.org/north-carolina,,,No,
Dills Dam,,,NC06847,,NC06847,Carl E Dills,Private,Private,,No,,,Other,Other,North Carolina,CHERO-047,35.0911,-84.2571,North Carolina,Cherokee,,,,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,2023-03-21,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Grassy Knob Acres Dam,,,NC04106,,NC04106,"Grassy Knob Acres, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,RUTHE-039,35.3956,-82.1373,North Carolina,Polk,Cliffside,25,Broad River,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,45,53,53,51-100 feet,160,,,Undetermined,,75,75,50,2.5,,,,,,,,,,,2023-09-25,2021-02-10,,Significant,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Burnside Drive Dam,,,NC05802,,NC05802,Elizabeth Scherrer,Private,Private,0,No,,,Flood Risk Reduction,Flood Risk Reduction;Fish and Wildlife Pond;Recreation,North Carolina,WAKE-394,35.652,-78.7363,North Carolina,Wake,Apex,0,Middle Creek,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,10,19,19,Less than 25 feet,270,,,Undetermined,,12,12,,3,,,,,,,,,,,2023-09-25,2022-12-16,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Possom Track Farm Dam,,,NC04453,,NC04453,Han Wang,Private,Private,0,No,,,Recreation,Recreation,North Carolina,WAKE-111,35.9491,-78.6207,North Carolina,Wake,Smithfield,29,Cedar Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,22,25,25,25-50 feet,325,,,Undetermined,,71,71,35,6.3,86,,,,,,,,,,2023-09-25,2023-01-05,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Lakeview Dam At Faires Farm,,,NC05337,,NC05337,Lakeview At Faires Farm Homeowners Association Inc,Private,Private,0,No,,,Recreation,Recreation,North Carolina,MECKL-167,35.2976,-80.72135,North Carolina,Mecklenburg,Charlotte,5,Back Creek,"North Carolina, Congressional District 12",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,9,12,12,Less than 25 feet,300,,,Undetermined,,10.7,10.7,,2.3,23.25,,,,,,,,,,2023-09-25,2021-12-21,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Palmetto Lake Upper Dam,,,NC01350,,NC01350,"Palmetto Council, BSA",Private,Private,0,No,,,Recreation,Recreation,North Carolina,POLK-007,35.2612,-82.30693,North Carolina,Polk,Pea Ridge,25,Cove Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,30,38,38,25-50 feet,253,,,Undetermined,,110,110,60,7,,,,,,,,,,,2023-09-25,2023-03-14,,Significant,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Preston Crossings Dam,,,NC00877,,NC00877,Preston Development Company,Private,Private,0,No,,,Recreation,Recreation,North Carolina,WAKE-050,35.7985,-78.8449,North Carolina,Wake,,,Turkey Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,18,18,Less than 25 feet,420,,,Undetermined,,18.8,18.8,12,2,26,0,,,,,,,,,2023-09-25,2022-03-02,,High,Satisfactory,,Yes,2016-10-01,https://damsafety.org/north-carolina,,,No,
Shaw Lake Dam,,,NC00851,,NC00851,"Grey's Landing Property Owners Association, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,WAKE-024,35.893,-78.659,North Carolina,Wake,Raleigh,7,Honeycutt Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,20,25,25,25-50 feet,450,,1972,1970-1979,,55,55,48,4,,109,,,,,,,,,2023-09-25,2023-02-27,,High,Fair,,Yes,2018-10-01,https://damsafety.org/north-carolina,,,No,
Benfield Dam,Cobb Dam,,NC02000,,NC02000,Dean Benfield,Private,Private,0,No,USDA NRCS,,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",North Carolina,CALDW-007,35.88629,-81.49092,North Carolina,Caldwell,,,Angley Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,21,26,26,25-50 feet,0,,,Undetermined,,11,11,0,2,60,0,,,,,,,,,2023-09-25,2022-12-08,,High,Unsatisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Scott'S Lake Dam,,,NC00888,,NC00888,Joseph F Scott,Private,Private,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,WILSO-002,35.5981,-78.0697,North Carolina,Wilson,Fremont,6.5,Black Creek,"North Carolina, Congressional District 01",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,12,15,15,Less than 25 feet,522,,,Undetermined,,90,90,,,,,,,,,,,,,2023-09-25,2021-01-29,,Low,Poor,,No,,https://damsafety.org/north-carolina,,,No,
Tanglewood Forest Hoa Dam,,,NC06471,,NC06471,"Drumheller Land Association, Inc.",Private,Private,,No,,,Debris Control,Debris Control,North Carolina,FORSY-240,36.0107,-80.3919,North Carolina,Forsyth,,,UT to Johnson's Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,,6,6,6,Less than 25 feet,70,,,Undetermined,,1,1,0,,,,,,,,,,,,2023-09-25,2020-07-22,,High,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
X Way Millpond Dam,"Lytchs Pond Dam, Crossway Millpond Dam",,NC01091,,NC01091,Aubrey McCormick,Private,Private,,No,,,Recreation,Recreation,North Carolina,SCOTL-017,34.744,-79.528,North Carolina,Scotland,Laurinburg,0,Gum Swamp Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,9,15,15,Less than 25 feet,1120,,1949,1940-1949,,1382,1382,1152,300,69760,231,,,,,,,,,2023-09-25,2022-12-14,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
Mayo Fgd Settling Basin Dam,,,NC06207,,NC06207,Duke Energy Corporation,Public Utility,Public Utility,,No,,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,PERSO-049,36.539,-78.883,North Carolina,Person,,,,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete,,,,14,55,55,51-100 feet,1940,,,Undetermined,,52,52,40,4.5,5,60,,,,,,,,,2023-09-25,2023-04-18,,High,Satisfactory,,Yes,2021-07-15,https://damsafety.org/north-carolina,,,No,Sappony SDTSA
