Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian
Fox Pond Dam,,,NC00344,,NC00344,James E & Amanda K Bunton,Private,Private,0,No,,,Recreation,Recreation,North Carolina,STOKE-049,36.30083,-80.21472,North Carolina,Stokes,Walnut Cove,6,Watts Creek,"North Carolina, Congressional District 05",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,24,24,Less than 25 feet,280,,1950,1950-1959,,56,56,42,6,1042,327,,,,,,,,,2023-09-25,2015-01-13,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Phillips Lake Dam,,,NC02089,,NC02089,Albert Crissman,Private,Private,0,No,,,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",North Carolina,CHATH-055,35.5607,-79.442,North Carolina,Chatham,,,Tyson Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,,25,25,25-50 feet,225,,,Undetermined,,35,35,0,3.5,0,0,,,,,,,,,2023-09-25,1997-12-11,,Low,,,No,,https://damsafety.org/north-carolina,,,No,
Manual Dejuan Lower Dam,,,NC05789,,NC05789,Rutledge R Liles,Private,Private,,No,,,Recreation,Recreation,North Carolina,JACKS-065,35.1231,-83.1064,North Carolina,Jackson,,,UT to Horsepasture River,"North Carolina, Congressional District 11",No,No,,No,No,No,No,,,,,,,,,No,,Concrete,Concrete,,,,15,15,15,Less than 25 feet,105,,,Undetermined,,1,1,1,0.1,0,0,,,,,,,,,2023-09-25,2007-06-20,,Significant,,,No,,https://damsafety.org/north-carolina,,,No,
Pioneer Mill Dam,,,NC05703,,NC05703,"Cedarvale Farm Homeowners Association, Inc.",Private,Private,0,No,,,Fish and Wildlife Pond,"Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond;Recreation",North Carolina,CABAR-077,35.2676,-80.5903,North Carolina,Cabarrus,,,Caldwell Creek,"North Carolina, Congressional District 08",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,10,11,11,Less than 25 feet,250,,,Undetermined,,31,31,,7,,,,,,,,,,,2023-09-25,2020-10-20,,Significant,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Ammons Pond Dam,,,NC04451,,NC04451,"Ammons Construction Company, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,WAKE-108,35.9487,-78.7148,North Carolina,Wake,Falls,9,Upper Barton Creek,"North Carolina, Congressional District 02",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,22,25,25,25-50 feet,280,,,Undetermined,,37,37,25,3,,,,,,,,,,,2023-09-25,2018-01-11,,Low,Satisfactory,,Yes,2001-01-03,https://damsafety.org/north-carolina,,,No,
Yadco Lake Dam,,,NC00068,,NC00068,"PCC Realty, LLC",Private,Private,0,No,,,Other,Other;Recreation,North Carolina,MOORE-053,35.15352,-79.44314,North Carolina,Moore,,,Aberdeen Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,14,15,15,Less than 25 feet,385,,1959,1950-1959,,60,60,56,10,,27,,,,,,,,,2023-09-25,2012-08-29,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Anderson Farm Lagoon Dam,,,NC05275,,NC05275,"The Hanor Company of Wisconsin, LLC",Private,Private,0,No,,,Other,Other,North Carolina,EDGEC-014,36.046,-77.5499,North Carolina,Edgecombe,,,Maple Swamp,"North Carolina, Congressional District 01",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,23,25,25,25-50 feet,0,,,Undetermined,,96,96,,4.6,,,,,,,,,,,2023-09-25,2003-02-12,,Significant,,,No,,https://damsafety.org/north-carolina,,,No,
Burke Dam,,,NC01735,,NC01735,City of Graham,Private,Private,0,No,USDA NRCS,,Debris Control,Debris Control,North Carolina,ALAMA-033,36.097,-79.337,North Carolina,Alamance,Swepsonville,5,Quaker Creek,"North Carolina, Congressional District 04",No,No,,No,No,No,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,20,19,20,Less than 25 feet,350,,1981,1980-1989,,148,148,66,8.8,613,745,,,,,,,,,2023-09-25,2022-01-05,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Garris Dam,,,NC03103,,NC03103,Merle Beachy,Private,Private,0,No,,,Recreation,Recreation,North Carolina,IREDE-032,35.838,-80.749,North Carolina,Iredell,,,Fifth Creek-Os,"North Carolina, Congressional District 10",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,17,21,21,Less than 25 feet,180,,,Undetermined,,21,21,,2.5,,,,,,,,,,,2023-09-25,2021-11-23,,Significant,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Denton Dam,,,NC02523,,NC02523,Jimmy Denton Franklin Heirs,Private,Private,0,No,,,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",North Carolina,FRANK-059,35.988,-78.319,North Carolina,Franklin,,,Crooked Creek-Tr,"North Carolina, Congressional District 01",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,18,18,Less than 25 feet,290,,,Undetermined,,18,18,,2.5,0,0,,,,,,,,,2023-09-25,2021-12-10,,Significant,Fair,,No,,https://damsafety.org/north-carolina,,,No,
