GEOID,E_TOTPOP,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
37025042602,4698,0.2833,0.4237,0.8032,0.4093,0.4045
37025042603,9722,0.1758,0.5225,0.5544,0.4036,0.3227
37025042604,5043,0.5186,0.2866,0.4739,0.4858,0.4561
37027030100,5376,0.8943,0.8868,0.7375,0.9277,0.9367
37027030200,5408,0.6845,0.4192,0.2492,0.8432,0.6739
37027030300,3885,0.7712,0.2332,0.1952,0.9678,0.7216
37027030400,3736,0.8205,0.8247,0.2715,0.9205,0.8545
37027030500,5398,0.4644,0.404,0.2662,0.3836,0.3981
37027030600,4667,0.4883,0.8315,0.0465,0.2056,0.4341
37027030700,6629,0.7731,0.6047,0.0483,0.2454,0.5189
37027030801,2832,0.4076,0.1995,0.0151,0.2083,0.2045
37027030802,3736,0.7909,0.5835,0.114,0.6108,0.6633
37027030900,5452,0.6701,0.8069,0.0483,0.3063,0.5561
37027031000,2919,0.5606,0.7183,0.0548,0.3396,0.4814
37027031100,4334,0.4231,0.5763,0.0264,0.2969,0.3527
37027031201,3910,0.6159,0.2287,0.0876,0.3942,0.3913
37027031202,4957,0.5348,0.5305,0.077,0.3029,0.4068
37027031301,4423,0.1223,0.5051,0.0914,0.5536,0.2606
37027031302,4339,0.592,0.5085,0.1628,0.3567,0.4553
37027031401,3297,0.314,0.3597,0.1605,0.2916,0.258
37027031402,3420,0.2686,0.7739,0.375,0.7717,0.5701
37027031403,1998,0.9053,0.8224,0.3255,0.5195,0.7837
37029950101,6215,0.2049,0.6914,0.4147,0.3169,0.3371
37029950102,4332,0.4348,0.5422,0.173,0.6827,0.5216
37031970101,953,0.5686,0.4343,0.1628,0.6331,0.5299
37031970102,2284,0.0561,0.1019,0.0465,0.0553,0.0212
37031970103,2539,0.558,0.2154,0.0128,0.1136,0.2136
37031970200,1104,0.4045,0.17,0.0313,0.7202,0.3814
37031970301,3950,0.5845,0.2139,0.489,0.284,0.3905
37031970304,2371,0.6602,0.8353,0.199,0.173,0.5178
37031970305,1874,0.6962,0.5237,0.4381,0.7111,0.6814
37031970401,1499,0.8777,0.4903,0.1858,0.8902,0.7875
37031970402,1477,0.8443,0.649,0.4215,0.6179,0.7447
37031970403,1324,0.4045,0.148,0.3807,0.8849,0.5008
37031970501,2896,0.7663,0.3968,0.3229,0.9849,0.7894
37031970502,2286,0.0909,0.3109,0.0208,0.1,0.0659
37031970503,2175,0.2917,0.7039,0.3274,0.3249,0.3811
37031970504,1778,0.0553,0.4672,0.1884,0.2245,0.1227
37031970601,932,0.2508,0.3779,0.0034,0.2348,0.1898
37031970602,1086,0.0144,0.3041,0.1681,0.0644,0.0348
37031970603,1351,0.8636,0.44,0.375,0.3817,0.6432
37031970606,3867,0.2174,0.5983,0.1699,0.1458,0.2057
37031970701,1453,0.5936,0.2919,0.1926,0.3446,0.3989
37031970702,4141,0.7057,0.5903,0.2035,0.8834,0.7288
37031970703,4225,0.511,0.5089,0.2625,0.7618,0.5913
37031970704,2217,0.2178,0.2825,0.0578,0.2359,0.1617
37031970801,2798,0.4674,0.5437,0.1548,0.0716,0.2466
37031970804,4194,0.1636,0.1261,0.1254,0.2374,0.1095
37031970805,1727,0.5667,0.0685,0.1828,0.1439,0.1966
37031970806,4361,0.2515,0.4502,0.1405,0.4601,0.3038
37031970903,1161,0.033,0.1007,0.2247,0.1515,0.0417
37031970904,2709,0.1083,0.2109,0.0423,0.4146,0.1413
37031971003,1814,0.1087,0.1836,0.0064,0.5805,0.1705
37031971103,1807,0.3633,0.2942,0.0937,0.7611,0.4345
37031980100,0,NA,NA,NA,NA,NA
37033930100,2518,0.8367,0.7808,0.7783,0.5983,0.8068
37033930200,5194,0.8712,0.805,0.733,0.964,0.9277
37033930300,4165,0.7072,0.9966,0.469,0.6782,0.858
37033930400,2293,0.6038,0.7993,0.7062,0.1374,0.5413
37033930500,3875,0.2402,0.0526,0.5468,0.426,0.2038
37033930600,4702,0.2723,0.0496,0.3829,0.2851,0.1523
37035010101,5855,0.5227,0.7789,0.2931,0.2098,0.4652
37035010102,4338,0.2064,0.8137,0.3376,0.6944,0.5095
37035010201,5551,0.4981,0.4994,0.4974,0.1912,0.3909
37035010203,3065,0.8458,0.56,0.4109,0.758,0.7667
37035010204,5120,0.7989,0.939,0.5544,0.8887,0.8943
37035010301,4996,0.4322,0.5362,0.2878,0.359,0.4159
37035010302,6420,0.3383,0.4161,0.3459,0.1416,0.2447
37035010303,4576,0.5811,0.6096,0.4162,0.5028,0.5761
37035010304,4282,0.6792,0.8985,0.6114,0.9034,0.8508
37035010402,5554,0.8697,0.3544,0.6677,0.9841,0.8701
37035010403,4947,0.7428,0.7115,0.463,0.9379,0.8178
37035010404,2403,0.4496,0.3915,0.5306,0.1477,0.3155
37035010501,4011,0.2117,0.3533,0.3784,0.6676,0.367
37035010502,4056,0.153,0.153,0.0914,0.0394,0.0455
37035010600,6750,0.6951,0.9095,0.5823,0.802,0.8186
37035010700,2276,0.9227,0.8955,0.7579,0.9288,0.9515
37035010900,3136,0.9568,0.9576,0.8399,0.7887,0.9602
37035011000,2658,0.9814,0.9542,0.7523,0.9788,0.992
37035011101,3290,0.4186,0.2189,0.3784,0.1223,0.2155
37035011102,8113,0.6428,0.6191,0.469,0.8667,0.733
37035011200,5655,0.4958,0.5214,0.4343,0.6005,0.5583
37035011300,6669,0.7799,0.9807,0.5616,0.8095,0.8955
37035011401,3689,0.7068,0.089,0.4554,0.7721,0.5689
37035011402,4019,0.5962,0.9106,0.1628,0.9879,0.8348
37035011501,4737,0.4098,0.5865,0.2141,0.5206,0.4606
37035011503,3762,0.1098,0.3415,0.0336,0.0432,0.0538
37035011505,3680,0.3269,0.1246,0.0313,0.2189,0.1557
37035011506,3579,0.0655,0.1359,0.1858,0.1215,0.0527
37035011601,4855,0.6269,0.5104,0.4592,0.66,0.6383
37035011602,5228,0.542,0.7009,0.1926,0.3908,0.5148
37035011701,4869,0.1742,0.4491,0.5502,0.783,0.4473
37035011702,7327,0.2201,0.5335,0.2017,0.3537,0.2841
37035011801,5810,0.2208,0.0583,0.1125,0.4207,0.1466
37035011802,5735,0.6386,0.847,0.2576,0.3165,0.5898
37037020103,5041,0.2,0.7243,0.5087,0.1764,0.2932
37037020104,5891,0.0061,0.3211,0.2715,0.4911,0.1239
37037020105,7528,0.1015,0.4631,0.3157,0.2537,0.1742
37037020107,2614,0.3269,0.3427,0.3055,0.0193,0.117
37037020108,1897,0.1254,0.7149,0.3346,0.1155,0.1879
37037020201,3394,0.1996,0.1265,0.4415,0.2495,0.1576
37037020202,3549,0.1284,0.022,0.1628,0.1492,0.0352
37037020203,2673,0.4636,0.5195,0.375,0.3056,0.4193
37037020300,2915,0.6064,0.9629,0.642,0.621,0.772
37037020401,6454,0.8314,0.9761,0.8391,0.905,0.9447
37037020402,4721,0.9754,0.685,0.8663,0.9822,0.9742
37037020500,3474,0.4602,0.3752,0.1076,0.1787,0.2663
37037020600,4810,0.4182,0.4248,0.4215,0.7198,0.5326
